x,y
19.492156617011275,18.420057670503656
23.217056371442627,23.947078669251177
23.200458096726035,23.9358770443408
23.19969932344001,23.939247144859714
23.15149334113144,23.940480979048253
23.132787876162602,23.95446390243357
23.1722103688998,23.943677448488156
23.099569044001665,23.95355893696427
23.110031260305234,23.95798375828186
23.116567915603735,23.96456071397686
23.166253492695283,23.94781919961736
23.153684398851563,23.943784697389862
23.11427085599117,23.956385581743813
23.10244385220134,23.966393052285063
23.112074481198814,23.969612633222546
23.037034963028653,23.98915406615609
23.160336869035554,23.94596638223629
23.16679116100014,23.950428702989118
23.158776303742687,23.95317087400212
23.21771175253883,23.929213825162744
23.214276469014177,23.933963687304168
23.18500681183992,23.936361521415957
23.206674571461615,23.933922906325087
23.226487604462932,23.927067856990703
23.221251108769142,23.931672826492772
23.217503876737037,23.930723130579594
23.213236422597205,23.93620744345804
23.217944041317512,23.933384328354197
23.2162635585804,23.930351584366
23.221132750065212,23.937233910970054
23.267875087110802,23.93416883301023
23.24446859954478,23.924836942525985
23.289201482046295,23.918053680262155
23.369779353397597,23.888436169640688
23.357650559944357,23.91732755197416
23.375272364506756,23.903396766966036
23.450881113441664,23.847997559413997
23.425830887421206,23.86510201634803
23.649063266786477,23.772279237702826
23.673669579325086,23.77552506690254
23.718776055826734,23.77756773606599
23.772806929529317,23.735967641563438
23.767434548424255,23.75987103409212
23.734017742870183,23.753524253480798
23.803340822835946,23.714015026904132
23.811256483317255,23.723110897769843
23.82556982784482,23.70125113551052
23.76375698225821,23.72293935730348
23.75652035305237,23.73486551446867
23.72581476310263,23.754718683135593
23.792209311227523,23.74368984205453
23.82378568958003,23.701065517259913
23.794799265085107,23.710317974975872
23.818890606023256,23.694568509541465
23.739171926024323,23.7623783008762
23.809894179216545,23.70970680947801
23.74682676234206,23.728099802219223
23.810701275923826,23.710442213100652
23.792522454918295,23.72760484892863
23.755206368917943,23.756401702484084
23.826394244968327,23.696432582698737
23.768764589492,23.737853129903602
23.731965401912472,23.776132759103742
23.71953740645162,23.753196566772022
23.702585205225507,23.769143374104853
23.72804376652234,23.755175523944967
23.681427427417642,23.77179851684429
23.62650371258995,23.7759164858849
23.58713039782352,23.821018363055224
23.69444118921212,23.77226999775915
23.580482569444936,23.816581506625145
23.516431500172366,23.82163976810552
23.562212824700136,23.80693518595327
23.552516643756835,23.82567523164106
