timestamp,x,y
2025-03-06T15:53:45.2070042-05:00,1066,724
2025-03-06T15:53:46.4613950-05:00,72,785
2025-03-06T15:53:47.5008305-05:00,1759,813
2025-03-06T15:53:48.3723960-05:00,316,743
2025-03-06T15:53:49.3101855-05:00,2020,961
2025-03-06T15:53:50.2599681-05:00,436,927
2025-03-06T15:53:51.1601781-05:00,2532,520
2025-03-06T15:53:52.0137889-05:00,1278,338
2025-03-06T15:53:52.9875241-05:00,1102,1449
2025-03-06T15:53:53.7890633-05:00,1196,1276
2025-03-06T15:53:54.6693751-05:00,849,1769
2025-03-06T15:53:55.6216827-05:00,1086,1289
2025-03-06T15:53:56.7267748-05:00,2725,816
2025-03-06T15:53:57.6233792-05:00,2595,342
2025-03-06T15:53:58.5194435-05:00,2602,709
2025-03-06T15:53:59.2939284-05:00,2147,789
2025-03-06T15:54:00.4678003-05:00,63,360
2025-03-06T15:54:01.5192877-05:00,2773,1615
2025-03-06T15:54:02.6641410-05:00,58,1298
2025-03-06T15:54:03.5641320-05:00,1643,1721
2025-03-06T15:54:04.8058971-05:00,2346,1684
2025-03-06T15:54:05.8877446-05:00,775,177
2025-03-06T15:54:06.7938885-05:00,887,1422
2025-03-06T15:54:07.7507634-05:00,1662,740
2025-03-06T15:54:08.7436848-05:00,203,600
2025-03-06T15:54:09.7521250-05:00,2053,816
2025-03-06T15:54:10.6966440-05:00,2538,25
2025-03-06T15:54:11.6551597-05:00,174,1386
2025-03-06T15:54:12.5183659-05:00,2257,86
2025-03-06T15:54:13.2887961-05:00,2871,473
2025-03-06T15:54:14.2128836-05:00,1201,88
2025-03-06T15:54:14.9595873-05:00,1856,134
2025-03-06T15:54:15.7886724-05:00,455,614
2025-03-06T15:54:16.6309264-05:00,207,1118
2025-03-06T15:54:18.2641760-05:00,2089,1725
2025-03-06T15:54:19.2397451-05:00,869,90
2025-03-06T15:54:20.3034034-05:00,2751,184
2025-03-06T15:54:21.2598134-05:00,282,1332
2025-03-06T15:54:22.1864966-05:00,876,1534
2025-03-06T15:54:23.2501728-05:00,2316,548
2025-03-06T15:54:24.1104676-05:00,1164,161
2025-03-06T15:54:25.1473220-05:00,356,553
2025-03-06T15:54:26.1925933-05:00,2852,1686
2025-03-06T15:54:27.3148012-05:00,2189,1624
2025-03-06T15:54:28.4938504-05:00,1515,1267
2025-03-06T15:54:29.4316896-05:00,682,735
2025-03-06T15:54:30.4574121-05:00,1575,145
2025-03-06T15:54:31.3360845-05:00,1876,213
2025-03-06T15:54:32.2517440-05:00,2337,340
2025-03-06T15:54:33.2962883-05:00,790,1091
2025-03-06T15:54:34.4455965-05:00,227,455
2025-03-06T15:54:35.2926968-05:00,1382,238
2025-03-06T15:54:36.1973260-05:00,2206,171
2025-03-06T15:54:37.2513906-05:00,1222,466
2025-03-06T15:54:38.7923595-05:00,2789,1105
2025-03-06T15:54:39.7763897-05:00,1632,1315
2025-03-06T15:54:41.0601006-05:00,219,412
2025-03-06T15:54:42.1843968-05:00,1929,520
2025-03-06T15:54:43.2798859-05:00,2522,685
2025-03-06T15:54:44.7460604-05:00,1246,879
2025-03-06T15:54:45.5528370-05:00,1404,622
2025-03-06T15:54:46.6391181-05:00,373,1443
2025-03-06T15:54:47.6551516-05:00,2794,220
2025-03-06T15:54:50.5682922-05:00,971,411
2025-03-06T15:54:51.9774645-05:00,216,525
2025-03-06T15:54:53.8891025-05:00,2954,525
2025-03-06T15:54:55.1226855-05:00,1135,266
2025-03-06T15:54:56.2611618-05:00,1255,1530
2025-03-06T15:54:57.1877527-05:00,1817,975
2025-03-06T15:54:58.1261776-05:00,781,537
2025-03-06T15:54:59.3506724-05:00,2795,1650
2025-03-06T15:55:00.5899918-05:00,2594,1184
2025-03-06T15:55:02.3235935-05:00,403,580
2025-03-06T15:55:03.4198329-05:00,2659,1493
2025-03-06T15:55:04.3676841-05:00,887,1771
2025-03-06T15:55:05.2809531-05:00,1229,998
2025-03-06T15:55:06.2845464-05:00,1888,330
2025-03-06T15:55:07.1726196-05:00,2959,344
2025-03-06T15:55:08.2009161-05:00,1324,1173
2025-03-06T15:55:08.9901641-05:00,2266,1534
2025-03-06T15:55:10.0523074-05:00,2592,517
2025-03-06T15:55:10.9930944-05:00,2672,171
2025-03-06T15:55:11.9275691-05:00,2119,604
2025-03-06T15:55:14.6804761-05:00,621,70
2025-03-06T15:55:15.9703275-05:00,2333,1798
2025-03-06T15:55:17.1055272-05:00,825,736
2025-03-06T15:55:18.3488166-05:00,2789,370
2025-03-06T15:55:19.6470065-05:00,1188,1273
2025-03-06T15:55:20.6054400-05:00,2868,78
2025-03-06T15:55:21.6787575-05:00,1029,1591
2025-03-06T15:55:22.7299333-05:00,2659,485
2025-03-06T15:55:23.7221379-05:00,1838,907
2025-03-06T15:55:24.6637020-05:00,1560,683
2025-03-06T15:55:25.7341230-05:00,2496,514
2025-03-06T15:55:26.8180527-05:00,944,1798
